price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
Rp 950 Juta,https://www.rumah123.com/properti/yogyakarta/hos17153316/,"Jual Rumah 2 Lantai Mangku Jalan Aspal Di Maguwoharjo, 950 Juta","Kraton, Yogyakarta",3,4,1,135 m²,180 m²
"Rp 2,3 Miliar",https://www.rumah123.com/properti/sleman/hos17153300/,Rumah Griya Mahkota Godean Dalam Ring Road,"Gamping, Sleman",3,3,2,204 m²,178 m²
Rp 525 Juta,https://www.rumah123.com/properti/yogyakarta/hos17026496/,"Rumah Baru Unfurnished SHM di Jl Palagan Km 13, Yogyakarta","Kaliurang, Yogyakarta",2,1,1,126 m²,36 m²
Rp 499 Juta,https://www.rumah123.com/properti/sleman/hos16077139/,"Rumah Secantik Ini Sangat Terjangkau Lho, Dekat Rsu Mitra Sehat","Gamping, Sleman",2,1,1,141 m²,56 m²
"Rp 1,5 Miliar",https://www.rumah123.com/properti/sleman/hos17153207/,Rumah mangku aspal dekat Pasar STAN Maguwo,"Depok, Sleman",4,2,1,218 m²,150 m²
"Rp 2,11 Miliar",https://www.rumah123.com/properti/sleman/hos17153161/,"9 Menit Sekolah Al Azhar, Skema Bayar Fleksibel, Rumah Impian Anda","Sleman, Sleman",3,2,1,110 m²,107 m²
"Rp 3,87 Miliar",https://www.rumah123.com/properti/sleman/hos17153158/,"3 Menit Pemda Sleman, Lebar Jalan 8 Meter, Formula Land","Sleman, Sleman",3,3,2,204 m²,142 m²
"Rp 3,23 Miliar",https://www.rumah123.com/properti/sleman/hos17153156/,"Jual Rumah Di Sleman, Dekat Bale Mulia, Kayu Jati Perhutani","Sleman, Sleman",3,3,2,153 m²,135 m²
"Rp 1,25 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17153107/,Rumah baru Perumahan Pondok Permai Kotagede,"Kotagede, Yogyakarta",2,1,1,135 m²,45 m²
Rp 575 Juta,https://www.rumah123.com/properti/sleman/hos8863705/,RUMAH CANTIK SIAP HUNI DI TAMANMARTANI,"Purwomartani   , Sleman",3,2,1,129 m²,80 m²
Rp 900 Juta,https://www.rumah123.com/properti/sleman/hos17153008/,Rumah Siap Huni Dekat Jogja Bay Maguwoharjo,"Depok, Sleman",3,2,2,153 m²,100 m²
"Rp 1,9 Miliar",https://www.rumah123.com/properti/sleman/hos17152877/,Rumah Full Furnish sekitar jalan Wahid Hasyim,"Depok, Sleman",5,4,2,158 m²,120 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17152786/,JUAL KOS DI MERGANGSAN COCOK UNTUK INVESTASI,"Mergangsan, Yogyakarta",12,12,1,425 m²,200 m²
"Rp 1,38 Miliar",https://www.rumah123.com/properti/sleman/hos17114003/,Dijual Rumah Sleman Berbah Jogja One Gate System Selatan Aau,"Sleman, Sleman",3,2,1,107 m²,100 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/sleman/hos17152804/,Rumah Di Pastika Bumidana Residence Dekat Mirota Godean Jogja,"Gamping, Sleman",4,4,1,131 m²,200 m²
"Rp 1,9 Miliar",https://www.rumah123.com/properti/sleman/hos17152775/,Rumah mewah Maguwoharjo dekat Sheraton,"Depok, Sleman",5,6,2,166 m²,150 m²
"Rp 7,5 Miliar",https://www.rumah123.com/properti/sleman/hos17152693/,Kos eksklusif dan penginapan harian condon catur,"Depok, Sleman",17,17,4,453 m²,411 m²
Rp 13 Miliar,https://www.rumah123.com/properti/yogyakarta/hos17152631/,"Dijual Rumah Jaman Dulu Cocok Untuk Villa, Coffeshop, Restaurant","Pakualaman, Yogyakarta",3,1,,838 m²,400 m²
Rp 3 Miliar,https://www.rumah123.com/properti/sleman/hos17152616/,Ruko area Lempong Sari Pinggir Jalan Raya,"Ngaglik, Sleman",3,3,3,229 m²,180 m²
"Rp 1,1 Miliar",https://www.rumah123.com/properti/sleman/hos16971442/,RUMAH SUPER MURAH DI CONDONG CATUR,"Condong Catur, Sleman",3,2,1,187 m²,150 m²
Rp 270 Juta,https://www.rumah123.com/properti/sleman/hos17152538/,Beli Rumah Siap Huni Dekat Jl Manisrenggo 200jt an SHM,"Ngemplak, Sleman",2,1,1,61 m²,30 m²
"Rp 4,2 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17152531/,Rumah Mewah Jogja Dekat Hotel Tentrem Mlati Sleman Jogja,"Sleman, Yogyakarta",4,4,8,564 m²,190 m²
"Rp 1,7 Miliar",https://www.rumah123.com/properti/bantul/hos16464511/,Rumah Dlm Perum Dekat Balaikota Jogja Dan Ambarukmo Plaza Prospek Untuk Hunian investasi,"Banguntapan, Bantul",3,2,1,118 m²,70 m²
Rp 550 Juta,https://www.rumah123.com/properti/bantul/hos17152503/,Dijual Kos.kosan aktif Murah di Jln.pleret Balong Banguntapan,"Banguntapan, Bantul",6,3,2,94 m²,94 m²
"Rp 1,95 Miliar",https://www.rumah123.com/properti/bantul/hos17152433/,VILLA DI DEKAT KIDS FUN JOGJA COCOK UNTUK INVESTASI & HUNIAN,"Banguntapan, Bantul",4,3,1,630 m²,350 m²
"Rp 1,1 Miliar",https://www.rumah123.com/properti/sleman/hos16077127/,Rumah Anti Blusukan Dan Dekat Sekolah Terbaik Jogja,"Ngemplak, Sleman",2,1,1,110 m²,70 m²
"Rp 2,6 Miliar",https://www.rumah123.com/properti/sleman/hos17152460/,Joglo + Kolam Renang dekat Pasar Pakem,"Turi, Sleman",4,4,4,1112 m²,400 m²
Rp 25 Miliar,https://www.rumah123.com/properti/yogyakarta/hos17152442/,Guest House Murah Jogja Dekat Pura Pakualaman Jogja,"Pakualaman, Yogyakarta",9,9,,429 m²,1000 m²
"Rp 1,2 Miliar",https://www.rumah123.com/properti/sleman/hos10901792/,RUMAH ASRI  SEJUK DAN NYAMAN DI JALAN KALIURANG KM 12,"Kaliurang, Sleman",5,6,1,499 m²,200 m²
"Rp 1,42 Miliar",https://www.rumah123.com/properti/sleman/hos17152314/,RUMAH HOOK MEWAH MENARIK NOGOTIRTO,"Mlati, Sleman",5,4,1,144 m²,250 m²
Rp 575 Juta,https://www.rumah123.com/properti/sleman/hos17026366/,RUMAH BARU SIAP HUNI DI PURWOMARTANI,"Purwomartani   , Sleman",3,2,1,100 m²,80 m²
Rp 730 Juta,https://www.rumah123.com/properti/sleman/hos17143938/,Rumah Proses Finishing Di Utara Pamela 7 Purwomartani Kalasan Sleman,"Purwomartani   , Sleman",3,2,1,100 m²,80 m²
Rp 590 Juta,https://www.rumah123.com/properti/sleman/hos16768407/,RUMAH SIAP HUNI  BERIKUT  PERABOT DEKAT KAMPUS UGM DAN UII DI JALAN KALIURANG KM 10,"Kaliurang, Sleman",2,1,1,98 m²,45 m²
"Rp 3,6 Miliar",https://www.rumah123.com/properti/sleman/hos11654026/,RUMAH MODEL CLASSIC MODERN DEKAT KAMPUS  UGM DI JALAN KALIURANG KM 4,"Kaliurang, Sleman",7,2,5,285 m²,160 m²
"Rp 1,35 Miliar",https://www.rumah123.com/properti/sleman/hos17152217/,Rumah 2 lantai barat hotel Hyatt Palagan,"Ngaglik, Sleman",4,3,1,115 m²,190 m²
"Rp 4,25 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17151974/,Rumah Mewah Jogja Dekat Alun Alun Kidul Jogja,"Mantrijeron, Yogyakarta",3,3,6,425 m²,150 m²
