price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
"Rp 1,79 Miliar",https://www.rumah123.com/properti/sleman/hos17166670/,Rumah 2 Lantai Baru  di jalan Palagan Sleman Yogyakarta,"Ngaglik, Sleman",3,3,2,120 m²,110 m²
Rp 170 Juta,https://www.rumah123.com/properti/sleman/hos17166674/,RUMAH BARU DEKAT AL AZHAR DAN UGM,"Jombor, Sleman",3,2,1,102 m²,126 m²
Rp 695 Juta,https://www.rumah123.com/properti/sleman/hos17166621/,RUMAH ASRI DAN SEJUK DI BERBAH SLEMAN DEKAT PASAR WISATA ALAM,"Berbah, Sleman",2,2,1,100 m²,100 m²
Rp 560 Juta,https://www.rumah123.com/properti/sleman/hos17166607/,Rumah Murah 5 Menit Dari Candi Prambanan Tersisa 1 Unit,"Prambanan, Sleman",3,1,1,109 m²,67 m²
Rp 200 Juta,https://www.rumah123.com/properti/sleman/hos17166601/,Rumah Murah Cicilan 1jt Di Moyudan Sleman,"Moyudan, Sleman",2,1,1,60 m²,30 m²
"Rp 1,47 Miliar",https://www.rumah123.com/properti/sleman/hos17166561/,RUMAH 2 LANTAI MANGKU JALAN ASPAL DEPOK MAGUWOHARJO SLEMAN,"Depok, Sleman",5,3,1,125 m²,157 m²
Rp 560 Juta,https://www.rumah123.com/properti/sleman/hos17166576/,Tersisa 1 Unit Rumah Murah 5 Menit Dari Candi Prambanan,"Prambanan, Sleman",3,1,1,109 m²,67 m²
"Rp 2,1 Miliar",https://www.rumah123.com/properti/sleman/hos17166543/,Kost Putri + Rumah Induk Dekat Kampus UMY,"Gamping, Sleman",11,11,2,206 m²,290 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/sleman/hos17166510/,2 Rumah dengan Tanah luas Dekat Pasar Jangkang,"Ngaglik, Sleman",5,4,2,300 m²,200 m²
"Rp 2,4 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17139178/,Rumah Bonus Tanah Bangun Kos Dekat Kampus Dan Tempat Wisata,"Kaliurang, Yogyakarta",3,3,1,403 m²,220 m²
Rp 875 Juta,https://www.rumah123.com/properti/sleman/hos17166476/,Rumah baru cluster Jalan kaliurang km 13,"Ngaglik, Sleman",3,2,1,145 m²,85 m²
Rp 570 Juta,https://www.rumah123.com/properti/sleman/hos17166436/,Rumah minimalis timur pasar gentan jakal,"Ngaglik, Sleman",2,1,1,83 m²,50 m²
Rp 300 Juta,https://www.rumah123.com/properti/bantul/hos16317386/,Miliki Hunian Smart Home Dengan Harga Murah Akses Mudah Ke Yia,"Sedayu, Bantul",2,1,1,60 m²,30 m²
Rp 750 Juta,https://www.rumah123.com/properti/sleman/hos17113067/,Rumah Luas dalam Perumahan 12 menit ke Ringroad Maguwoharho,"Ngemplak, Sleman",4,2,1,140 m²,90 m²
"Rp 1,85 Miliar",https://www.rumah123.com/properti/sleman/hos17166400/,Rumah Cluster Belakang Taman Palagan Asri,"Ngaglik, Sleman",4,4,2,166 m²,200 m²
Rp 745 Juta,https://www.rumah123.com/properti/bantul/hos17166375/,Dijual Rumah Murah  Bangunan Kokoh kontruksi bagus dak beton,"Piyungan, Bantul",3,1,3,209 m²,180 m²
"Rp 1,7 Miliar",https://www.rumah123.com/properti/sleman/hos17166329/,Rumah Furnished 2 Lantai dekat SD Model,"Depok, Sleman",4,3,2,169 m²,125 m²
"Rp 4,2 Miliar",https://www.rumah123.com/properti/sleman/hos17166257/,Rukost Baru Renovasi Siap Pakai di Babadan Banguntapan Bantul Jogjakarta,"Ngemplak, Sleman",4,3,2,480 m²,300 m²
Rp 455 Juta,https://www.rumah123.com/properti/yogyakarta/hos17166296/,Rumah Baru 400 Jutaan Tamanan Banguntapan,"Umbulharjo, Yogyakarta",2,1,1,61 m²,45 m²
"Rp 1,1 Miliar",https://www.rumah123.com/properti/sleman/hos17166238/,Rumah Cantik terawat Utara Stadion Maguwo,"Ngaglik, Sleman",4,3,2,171 m²,150 m²
Rp 850 Juta,https://www.rumah123.com/properti/sleman/hos17166237/,"Rumah Murah Siap Huni, Free Kitchen Set Di Godean, Sleman","Godean, Sleman",3,2,1,135 m²,80 m²
"Rp 3,5 Miliar",https://www.rumah123.com/properti/sleman/hos17166212/,Rumah besar strategis Condongcatur,"Depok, Sleman",7,7,2,349 m²,400 m²
"Rp 1,3 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17166150/,Jual Rumah di Wirosaban Yogyakarta Dekat UAD,"Umbulharjo, Yogyakarta",3,2,1,134 m²,200 m²
"Rp 4,8 Miliar",https://www.rumah123.com/properti/sleman/hos17166153/,Kost Eksklusif 13 kamar dekat Pakuwon Mall,"Ngaglik, Sleman",13,15,4,235 m²,465 m²
"Rp 1,85 Miliar",https://www.rumah123.com/properti/sleman/hos17166124/,Rumah baru Desain Modern Jalan Kaliurang KM 12,"Ngaglik, Sleman",4,3,2,135 m²,165 m²
"Rp 5,5 Miliar",https://www.rumah123.com/properti/sleman/hos17166111/,RUMAH DIJUAL CEPAT DI CATUR TUNGGAL DEPOK SLEMAN,"Depok, Sleman",3,2,,275 m²,275 m²
"Rp 4,75 Miliar",https://www.rumah123.com/properti/sleman/hos17166095/,Rumah Mewah Full Furnish Kolam Renang Di JL. Palagan KM. 7,"Mlati, Sleman",5,6,2,267 m²,340 m²
Rp 2 Miliar,https://www.rumah123.com/properti/sleman/hos17166074/,Kost 14 kamar dekat Lottemart Maguwo,"Depok, Sleman",14,14,2,196 m²,230 m²
"Rp 1,4 Miliar",https://www.rumah123.com/properti/sleman/hos17166035/,RUMAH BARU MAGUWOHARJO DEPOK SLEMAN DEKAT LOTTTE MART BANDARA,"Depok, Sleman",3,2,2,205 m²,150 m²
Rp 765 Juta,https://www.rumah123.com/properti/sleman/hos17166034/,Homestay Dalam Perumahan Sidoarum,"Gamping, Sleman",3,2,2,109 m²,80 m²
"Rp 2,2 Miliar",https://www.rumah123.com/properti/sleman/hos17166029/,"Dijual Rumah Mewah Di Sleman Dekat Upn, Fasilitas Lengkap","Condong Catur, Sleman",3,3,1,139 m²,125 m²
"Rp 3,1 Miliar",https://www.rumah123.com/properti/bantul/hos17166011/,RUMAH DIJUAL CEPAT DI PONDOK PERMAI KADIPIRO JALAN WATES,"Kasihan, Bantul",5,3,,146 m²,290 m²
"Rp 9,9 Miliar",https://www.rumah123.com/properti/sleman/hos17166003/,Villa Joglo + Kolam renang Pakem,"Ngaglik, Sleman",4,4,5,3400 m²,550 m²
"Rp 7,5 Miliar",https://www.rumah123.com/properti/sleman/hos17165967/,Rumah Joglo + kolam renang dekat pasar Pakem,"Ngaglik, Sleman",8,8,5,1000 m²,350 m²
"Rp 2,5 Miliar",https://www.rumah123.com/properti/bantul/hos17165952/,RUMAH DIJUAL CEPAT DI PERUM LAGUNA SPRING JALAN WONOSARI,"Bantul, Bantul",6,4,,128 m²,130 m²
"Rp 1,95 Miliar",https://www.rumah123.com/properti/sleman/hos17165928/,"Dijual Rumah 2 Lantai Mewah, Lokasi Startegis Dekat Kampus Rs","Depok, Sleman",3,3,1,128 m²,188 m²
Rp 10 Miliar,https://www.rumah123.com/properti/sleman/hos17165925/,Rumah Bagus Di  Jl Sekolah Mataram Dusun Jambon Trihanggo Yogya,"Sleman, Sleman",5,3,,848 m²,427 m²
"Rp 1,08 Miliar",https://www.rumah123.com/properti/sleman/hos17165912/,Rumah Baru Modern Jalan Kaliurang Km 13,"Ngaglik, Sleman",3,2,2,147 m²,85 m²
Rp 969 Juta,https://www.rumah123.com/properti/sleman/hos17165879/,Rumah Baru dalam Perumahan Jakal km 13,"Ngaglik, Sleman",3,3,2,102 m²,100 m²
Rp 25 Miliar,https://www.rumah123.com/properti/sleman/hos17165844/,Investasi Menguntungkan Di Lokasi Strategis Dekat Mall Amplaz,"Depok, Sleman",34,32,10,832 m²,1500 m²
"Rp 5,5 Miliar",https://www.rumah123.com/properti/sleman/hos17165833/,Rumah Baru dengan Private Pool Palagan,"Ngaglik, Sleman",5,6,3,295 m²,400 m²
"Rp 2,1 Miliar",https://www.rumah123.com/properti/sleman/hos17165802/,RUMAH DEKAT UGM COCOK UNTUK HUNIAN & INVESTASI,"Depok, Sleman",3,3,1,139 m²,100 m²
"Rp 3,2 Miliar",https://www.rumah123.com/properti/sleman/hos17165798/,Rumah Furnished dalam Perumahan Palagan,"Ngaglik, Sleman",5,5,2,204 m²,200 m²
"Rp 2,1 Miliar",https://www.rumah123.com/properti/sleman/hos17165780/,RUMAH DEKAT KAMPUS UGM COCOK UNTUK HUNIAN & INVESTASI,"Depok, Sleman",3,3,1,139 m²,100 m²
Rp 500 Juta,https://www.rumah123.com/properti/sleman/hos17165777/,"Dijual Rumah Di Perumahan, Sanggrahan, Purwomartani, Kalasan, Sleman","Condong Catur, Sleman",3,1,,72 m²,90 m²
"Rp 1,3 Miliar",https://www.rumah123.com/properti/sleman/hos17165762/,Rumah Baru dalam Cluster Jakal km 13,"Ngaglik, Sleman",3,2,2,156 m²,85 m²
Rp 900 Juta,https://www.rumah123.com/properti/bantul/hos17165722/,Rumah Baru Strategis Pinggir Jalan Nitiprayan Dalam Ringroad,"Kasihan, Bantul",3,2,2,111 m²,70 m²
"Rp 3,4 Miliar",https://www.rumah123.com/properti/sleman/hos17165721/,Rumah Cocok Untuk Keluarga Besar Lokasi Maguwoharjo Sleman,"Depok, Sleman",7,4,,415 m²,300 m²
Rp 10 Miliar,https://www.rumah123.com/properti/sleman/hos17165717/,Villa + Lahan besar dekat kampus Uii,"Ngaglik, Sleman",9,5,8,1527 m²,1000 m²
Rp 15 Miliar,https://www.rumah123.com/properti/sleman/hos17165685/,Rumah Mewah Baru dekat ke Malioboro,"Mlati, Sleman",6,7,4,636 m²,450 m²
"Rp 6,5 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17165652/,Rumah + Kost Utara XT-SQUARE,"Umbulharjo, Yogyakarta",11,11,5,500 m²,750 m²
"Rp 2,48 Miliar",https://www.rumah123.com/properti/sleman/hos17165619/,"Beli Rumah, Dapatkan Bonus Satu Unit Lagi di Sleman Jogja","Sleman, Sleman",4,3,1,192 m²,135 m²
"Rp 2,45 Miliar",https://www.rumah123.com/properti/sleman/hos17165614/,"Beli Rumah, Dapatkan Rumah Bonus Gratis di Sleman Jogja","Gamping, Sleman",4,3,1,187 m²,135 m²
"Rp 2,65 Miliar",https://www.rumah123.com/properti/sleman/hos17165612/,"Beli Rumah, Dapatkan Bonus Satu Rumah Lagi di Sleman Jogja","Sleman, Sleman",4,3,1,213 m²,135 m²
"Rp 2,43 Miliar",https://www.rumah123.com/properti/sleman/hos17165604/,"Beli Rumah Sekarang, Gratis Satu Unit Lagi di Sleman Jogja","Sleman, Sleman",4,3,1,192 m²,135 m²
"Rp 2,49 Miliar",https://www.rumah123.com/properti/sleman/hos17165601/,Deal Istimewa Beli Rumah Gratis Satu Unit di Sleman Jogja,"Sleman, Sleman",4,3,1,200 m²,135 m²
"Rp 1,2 Miliar",https://www.rumah123.com/properti/sleman/hos17165591/,Rumah baru dalam cluster dekat Jombor,"Mlati, Sleman",3,2,2,100 m²,88 m²
"Rp 1,65 Miliar",https://www.rumah123.com/properti/bantul/hos17165585/,"Dijual Rumah Baru Dekat Kampus Isi, Timbulharjo, Sewon, Bantul","Sewon, Bantul",3,4,,912 m²,150 m²
"Rp 2,25 Miliar",https://www.rumah123.com/properti/sleman/hos17165549/,KOS EXCLUSIVE sebelah RS JIH Condong Catur,"Depok, Sleman",10,10,2,100 m²,160 m²
Rp 900 Juta,https://www.rumah123.com/properti/sleman/hos17165510/,"Dijual Rumah Baru Mewah Di Purwomartani, Kalasan, Sleman","Kalasan, Sleman",4,2,,120 m²,84 m²
"Rp 2,35 Miliar",https://www.rumah123.com/properti/sleman/hos17165461/,Mewah baru desain Modern dekat Jogjabay,"Depok, Sleman",4,3,,120 m²,185 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/sleman/hos15830839/,Dalam Perumahan Condongcatur Utara Kampus Upn Jogja,"Condong Catur, Sleman",3,3,1,150 m²,95 m²
Rp 450 Juta,https://www.rumah123.com/properti/bantul/hos16025946/,Rumah Dekat Kotagede di Pleret Bantul Proses Bangun,"Plered, Bantul",2,1,2,97 m²,45 m²
Rp 845 Juta,https://www.rumah123.com/properti/yogyakarta/hos16384360/,Dijual Rumah 2 Lantai Di Wirosaban Dekat Kampus Uad Pusat Rsud,"Umbulharjo, Yogyakarta",2,2,2,60 m²,65 m²
"Rp 1,8 Miliar",https://www.rumah123.com/properti/sleman/hos17165416/,Rumah Dalam Perumahan Grand Tlogoadi,"Mlati, Sleman",3,2,2,134 m²,90 m²
"Rp 3,5 Miliar",https://www.rumah123.com/properti/sleman/hos14697093/,"Dijual Rumah Mewah Pogung, Belakang Kampus Ugm Jogja","Mlati, Sleman",4,5,1,288 m²,400 m²
Rp 299 Juta,https://www.rumah123.com/properti/sleman/hos16162903/,Rumah Murah Di Jogja Bisa Kpr Tanpa Bank Dp Ringan Dekat Umy,"Gamping, Sleman",2,1,1,60 m²,30 m²
"Rp 1,38 Miliar",https://www.rumah123.com/properti/sleman/hos15786924/,Dijual Rumah Berbah Jogja Ada Jacuzzi Dekat Ambarrukmo,"Berbah, Sleman",3,2,1,107 m²,100 m²
"Rp 1,2 Miliar",https://www.rumah123.com/properti/yogyakarta/hos15689498/,"Rumah Dijual Wedomartani Jogja, Siap Huni Dekat Jogja Bay","Sleman, Yogyakarta",4,5,1,128 m²,250 m²
Rp 750 Juta,https://www.rumah123.com/properti/sleman/hos14713960/,DIJUAL KOSAN FULL PENGHUNI di Jl. Angga Jaya 2 Concat Lantai SHM,"Condong Catur, Sleman",7,2,1,60 m²,120 m²
Rp 750 Juta,https://www.rumah123.com/properti/sleman/hos17165135/,CANTIK MINIMALIS HALAMAN LUAS MAGUWOHARJO,"Depok, Sleman",2,1,2,166 m²,36 m²
"Rp 1,65 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17165122/,"Rumah Tajem Maguwo, Dekat Lotte Mart Jogja","Maguwoharjo, Yogyakarta",3,3,1,200 m²,135 m²
Rp 900 Juta,https://www.rumah123.com/properti/sleman/hos17165068/,AKSES JOOS!! TANAH PEKARANGAN MANGKU ASPAL atu RUMAH SIAP BANGUN,"Kalasan, Sleman",3,2,,140 m²,80 m²
Rp 499 Juta,https://www.rumah123.com/properti/sleman/hos17165105/,Rumah Moderen Dilokasi Nyaman Dekat Ibarbo Park Sleman,"Mlati, Sleman",2,1,1,120 m²,36 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/sleman/hos17165072/,Rumah cluster dekat Hotel Hyatt Palagan,"Ngaglik, Sleman",4,3,2,118 m²,140 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/sleman/hos17165069/,Rumah Cantik Full Furnished Harga Terjangakau Di Sleman Jogja,"Ngemplak, Sleman",3,2,1,100 m²,85 m²
"Rp 1,5 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17164975/,Rumah dalam Perumahan dekat Giwangan,"Umbulharjo, Yogyakarta",4,3,2,204 m²,100 m²
"Rp 1,85 Miliar",https://www.rumah123.com/properti/sleman/hos17164955/,Rumah Terbaru Full Furnish Dekat Stadion Maguwo Jogja,"Ngemplak, Sleman",3,2,2,116 m²,115 m²
"Rp 1,6 Miliar",https://www.rumah123.com/properti/sleman/hos17164910/,Rumah Baru samping  jogjabay waterpark,"Depok, Sleman",4,4,2,126 m²,130 m²
"Rp 2,5 Miliar",https://www.rumah123.com/properti/bantul/hos17164870/,RUMAH GEBYOK BATU BATA EXPOSE DI BANGUNJIWO YOGYA,"Kasihan, Bantul",3,3,,352 m²,168 m²
"Rp 2,5 Miliar",https://www.rumah123.com/properti/bantul/hos17164867/,RUMAH GEBYOK BATU BATA EXPOSE DI BANGUNJIWO YOGYA,"Kasihan, Bantul",3,3,,352 m²,168 m²
"Rp 1,67 Miliar",https://www.rumah123.com/properti/sleman/hos17164838/,Rumah Kontemporer Wedomartani Maguwoharjo,"Depok, Sleman",4,2,2,162 m²,120 m²
"Rp 4,9 Miliar",https://www.rumah123.com/properti/sleman/hos17164791/,Rumah Mewah Dalam Perumahan Mbs Condongcatur Depok Sleman,"Condong Catur, Sleman",4,4,1,309 m²,100 m²
Rp 28 Miliar,https://www.rumah123.com/properti/yogyakarta/hos17164788/,Rumah Mewah Dijual Dekat Ugm Jogja Kota Depok Sleman Yogyakarta,"Demangan, Yogyakarta",6,3,3,998 m²,1600 m²
"Rp 2,36 Miliar",https://www.rumah123.com/properti/sleman/hos17164777/,"Beli Rumah Sekarang, Dapatkan Bonus Rumah di Sleman Jogja","Sleman, Sleman",4,3,1,182 m²,135 m²
"Rp 2,46 Miliar",https://www.rumah123.com/properti/sleman/hos17164776/,Promo Beli Rumah Gratis Satu Unit di Sleman Jogja,"Sleman, Sleman",4,3,1,196 m²,135 m²
"Rp 2,43 Miliar",https://www.rumah123.com/properti/sleman/hos17164774/,"Beli Rumah, Dapatkan 1 Rumah Lagi di Sleman Jogja","Gamping, Sleman",4,3,1,192 m²,135 m²
"Rp 2,4 Miliar",https://www.rumah123.com/properti/sleman/hos17164773/,"Hemat Besar Beli Rumah, Gratis Rumah Lainnya di Sleman Jogja","Sleman, Sleman",4,3,1,187 m²,136 m²
"Rp 1,59 Miliar",https://www.rumah123.com/properti/sleman/hos17164764/,"Rumah Baru Modern Furnish Jakal Km.7,5","Ngaglik, Sleman",3,3,1,90 m²,115 m²
Rp 576 Juta,https://www.rumah123.com/properti/sleman/hos14679971/,Timur Uii Kaliurang Kavling SHM Siap Bangun,"Ngemplak, Sleman",3,2,1,144 m²,80 m²
"Rp 2,54 Miliar",https://www.rumah123.com/properti/sleman/hos17164684/,"Beli Satu Rumah, Dapatkan Yang Lain Gratis di Sleman Jogja","Sleman, Sleman",4,3,1,200 m²,135 m²
Rp 300 Juta,https://www.rumah123.com/properti/bantul/hos17163082/,"rumah/Ruko belakang Kampus terpadu UMY, Yogya","Kasihan, Bantul",1,1,,52 m²,95 m²
"Rp 3,3 Miliar",https://www.rumah123.com/properti/sleman/hos17164634/,"Dijual Rumah Kost 40 Kamar Dekat Kampus Ugm, Depok, Sleman","Depok, Sleman",40,42,1,110 m²,400 m²
Rp 995 Juta,https://www.rumah123.com/properti/sleman/hos17164617/,Rumah baru dekat Ambarukmo Plasa,"Depok, Sleman",3,2,1,109 m²,75 m²
Rp 410 Juta,https://www.rumah123.com/properti/sleman/hos17161043/,"Rumah Murah di Perum Griya Purwo Asri, Purwomartani, Lokasi Bagus, .","Kalasan, Sleman",2,1,1,112 m²,60 m²
Rp 245 Juta,https://www.rumah123.com/properti/sleman/hos17164410/,Rumah Murah Siap Huni 200jt an Tipe 36 75 Di Prambanan,"Prambanan, Sleman",2,1,1,75 m²,36 m²
"Rp 2,4 Miliar",https://www.rumah123.com/properti/sleman/hos17139024/,Dijual Murah Rumah Bonus Tanah Bangun Kos Dekat Kampus Uii Jogja,"Sleman, Sleman",4,3,1,403 m²,220 m²
"Rp 1,79 Miliar",https://www.rumah123.com/properti/sleman/hos17164364/,Jual Rumah Proses Bangun Purwomartani Design Kontemporer,"Purwomartani   , Sleman",4,3,1,113 m²,175 m²
Rp 399 Juta,https://www.rumah123.com/properti/sleman/hos8497162/,Rumah Mewah Murah di Jl Godean KM 15 dekat Pasar Ngijon Siap Bangun,"Minggir, Sleman",2,1,,100 m²,45 m²
Rp 550 Juta,https://www.rumah123.com/properti/sleman/hos14835047/,RUMAH SIAP HUNI di Jl. SIDOMOYO KM 1 MLATI SLEMAN SHM Baru,"Mlati, Sleman",3,2,1,101 m²,55 m²
"Rp 2,4 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17161156/,Rumah Perumahan Furnished SHM Tengah Kota Jogja Dekat Balai Kota,"Gondokusuman, Yogyakarta",3,2,1,121 m²,140 m²
Rp 410 Juta,https://www.rumah123.com/properti/bantul/hos15406223/,Rumah Dekat Kantor Bupati di Ringinharjo Bantul Kota Siap Huni,"Bantul, Bantul",2,1,1,80 m²,42 m²
"Rp 2,9 Miliar",https://www.rumah123.com/properti/sleman/hos16213992/,Rumah Mewah 2lantai Pinggir Jalan Jogja Dekat Kampus Ugm,"Ngaglik, Sleman",3,3,2,140 m²,115 m²
Rp 650 Juta,https://www.rumah123.com/properti/yogyakarta/hos17164233/,Rumah dalam perum BMW Wirokerten,"Kotagede, Yogyakarta",4,2,1,90 m²,150 m²
Rp 775 Juta,https://www.rumah123.com/properti/yogyakarta/hos17163922/,"Rumah 2 Lantai Siap Huni Dalam Perumahan di Palagan, Sleman","Sleman, Yogyakarta",2,1,1,132 m²,90 m²
Rp 1 Miliar,https://www.rumah123.com/properti/sleman/hos17164105/,KOST EKSLUSIF BELAKANG KAMPUS PUSAT UII,"Ngaglik, Sleman",6,6,2,131 m²,115 m²
Rp 999 Juta,https://www.rumah123.com/properti/sleman/hos17164062/,Rumah Luas Konsep 2 Lantai Di Utara Stadion Maguwoharjo,"Ngemplak, Sleman",3,3,1,103 m²,100 m²
"Rp 7,25 Miliar",https://www.rumah123.com/properti/sleman/hos17164026/,Villa Pakem Turi Full Furnish Tanah luas,"Turi, Sleman",5,7,10,2770 m²,700 m²
"Rp 1,2 Miliar",https://www.rumah123.com/properti/sleman/hos4415395/,Villa Eksotik dan Asri di Wisata Kaliurang,"Kaliurang, Sleman",4,2,,766 m²,400 m²
Rp 695 Juta,https://www.rumah123.com/properti/yogyakarta/hos16964336/,"Utara Ugm, Rumah Cantik Kokoh Dekat Jogja Kota","Pogung, Yogyakarta",2,2,1,100 m²,65 m²
Rp 675 Juta,https://www.rumah123.com/properti/bantul/hos17163984/,"Rumah Modern Dekat Jogja Kota,gedong Kuning,janti,jec,babarsari","Bantul, Bantul",2,1,1,85 m²,45 m²
"Rp 4,25 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17163956/,Rumah Jogja Dijual Dekat Alun alun Kidul,"Mantrijeron, Yogyakarta",3,3,6,425 m²,150 m²
Rp 725 Juta,https://www.rumah123.com/properti/sleman/hos17163949/,Rumah Baru Dekat Puskesmas Cebongan Sleman,"Cebongan, Sleman",3,2,2,114 m²,71 m²
Rp 815 Juta,https://www.rumah123.com/properti/yogyakarta/hos16211891/,Rumah 2 Lantai Di Wirosaban Kota Jogja Dekat Kampus Uad Rs Ud,"Umbulharjo, Yogyakarta",2,2,1,75 m²,50 m²
Rp 455 Juta,https://www.rumah123.com/properti/bantul/hos14732633/,Rumah Dekat Rs Pku Gamping di Jl Wates Km 9 Sedayu Siap Huni,"Sedayu, Bantul",2,1,1,83 m²,45 m²
"Rp 1,3 Miliar",https://www.rumah123.com/properti/sleman/hos17163926/,Rumah dalam Perum Dekat mall JCM,"Mlati, Sleman",3,1,2,126 m²,80 m²
Rp 690 Juta,https://www.rumah123.com/properti/bantul/hos17163913/,"Rumah Bantul,dekat Jogja Kota,giwangan,kotagede,uad,bisa Kpr","Bantul, Bantul",3,2,2,76 m²,60 m²
Rp 11 Miliar,https://www.rumah123.com/properti/sleman/hos17163904/,"Rumah Hyarta Residence, Ngaglik Luas 340m2","Ngaglik, Sleman",4,3,,340 m²,280 m²
"Rp 2,43 Miliar",https://www.rumah123.com/properti/sleman/hos17138306/,Promo Beli Rumah Gratis 1 Rumah Sleman Jogja,"Sleman, Sleman",4,3,1,192 m²,135 m²
Rp 575 Juta,https://www.rumah123.com/properti/sleman/hos17163865/,Rumah Tingkat Baru Di Purwomartani Dekat Pamela 7,"Kalasan, Sleman",3,2,1,98 m²,115 m²
"Rp 4,2 Miliar",https://www.rumah123.com/properti/sleman/hos17163861/,Rumah di Jogja Dijual Dekat Hotel Tentrem Yogyakarta,"Mlati, Sleman",4,4,8,564 m²,190 m²
"Rp 1,85 Miliar",https://www.rumah123.com/properti/sleman/hos17163849/,Rumah Baru dekat Jogja Bay Maguwoharjo,"Depok, Sleman",3,2,1,126 m²,115 m²
Rp 580 Juta,https://www.rumah123.com/properti/yogyakarta/hos17145144/,Rumah Baru cantik timur polres dan BPJS Sleman  yogyakarta,"Sleman, Yogyakarta",3,2,,90 m²,65 m²
"Rp 4,25 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17163814/,Rumah Siap Huni Jogja Halaman Luas Dekat Alun alun Dan Malioboro,"Mantrijeron, Yogyakarta",3,3,6,425 m²,150 m²
"Rp 3,1 Miliar",https://www.rumah123.com/properti/sleman/hos17163801/,Rumah Jogja Dijual Dekat Jogja City Mall,"Mlati, Sleman",7,4,2,225 m²,300 m²
Rp 750 Juta,https://www.rumah123.com/properti/sleman/hos17163758/,Rumah Baru dekat SD Model Maguwoharjo,"Depok, Sleman",2,1,1,166 m²,36 m²
Rp 25 Miliar,https://www.rumah123.com/properti/yogyakarta/hos17163739/,Dijual Guest House Jogja Dekat Malioboro,"Pakualaman, Yogyakarta",9,9,3,429 m²,1000 m²
Rp 799 Juta,https://www.rumah123.com/properti/sleman/hos17163711/,"1 Unit, Rumah Siap Huni Dekat Sleman City Hall Di Mlati","Mlati, Sleman",3,2,1,111 m²,60 m²
Rp 799 Juta,https://www.rumah123.com/properti/yogyakarta/hos16210234/,Rumah 2 Lantai Di Kota Jogja Umbulharjo Dekat Kampus Uty Uad,"Umbulharjo, Yogyakarta",3,2,2,75 m²,50 m²
"Rp 8,9 Miliar",https://www.rumah123.com/properti/sleman/hos17163673/,"Rumah Besar + Kolam renang Jakal km.7,5","Ngaglik, Sleman",7,6,8,1050 m²,735 m²
"Rp 3,99 Miliar",https://www.rumah123.com/properti/sleman/hos17163648/,Dijual Kost Exclusive Putri 2 Lantai Dekat Ugm,"Depok, Sleman",13,11,10,235 m²,475 m²
Rp 950 Juta,https://www.rumah123.com/properti/sleman/hos17163635/,Kost Asri Investasi Tepat Untuk Passive Income Dekat Blok O SHM,"Depok, Sleman",4,4,1,90 m²,62 m²
Rp 800 Juta,https://www.rumah123.com/properti/yogyakarta/hos16077119/,"8 Menit Dari Ringroad Jogja, Desain Bebas Sesukamu","Bantul, Yogyakarta",3,2,1,101 m²,60 m²
Rp 4 Miliar,https://www.rumah123.com/properti/sleman/hos17163586/,Kost Eksklusif Barat kampus UTY Jombor,"Mlati, Sleman",15,15,4,207 m²,300 m²
"Rp 1,7 Miliar",https://www.rumah123.com/properti/sleman/hos17163508/,KOST FULL PENGHUNI DEKAT KAMPUS UMY,"Gamping, Sleman",10,10,3,100 m²,200 m²
Rp 392 Juta,https://www.rumah123.com/properti/sleman/hos17163488/,Hunian Modern Legalitas Aman Dekat Rsud Sleman Dengan Akses Mudah,"Sayegan, Sleman",2,1,1,80 m²,36 m²
"Rp 1,45 Miliar",https://www.rumah123.com/properti/yogyakarta/hos17163474/,"Rumah Dijual di Yogyakarta, Dekat Bandara Adisutjipto","Danurejan, Yogyakarta",3,3,1,110 m²,129 m²
"Rp 1,3 Miliar",https://www.rumah123.com/properti/sleman/hos17163398/,RUMAH + KOST FULL DEKAT KAMPUS UMY,"Gamping, Sleman",10,6,3,236 m²,180 m²
"Rp 4,2 Miliar",https://www.rumah123.com/properti/sleman/hos17140197/,Rumah Mewah Jogja Dekat Hotel Tentrem Mlati Jogja,"Mlati, Sleman",4,4,1,564 m²,150 m²
Rp 235 Juta,https://www.rumah123.com/properti/sleman/hos17163345/,Rumah Baru American Style Dan Strategis Diutara Candi Prambanan,"Depok, Sleman",2,1,1,73 m²,30 m²
"Rp 2,4 Miliar",https://www.rumah123.com/properti/sleman/hos17163315/,KOST EKLUSIF BARU DEKAT KAMPUS UII TERPADU,"Ngaglik, Sleman",10,10,3,175 m²,280 m²
"Rp 1,88 Miliar",https://www.rumah123.com/properti/sleman/hos17163297/,Dijual Rumah Mewah Paling Murah Di Jombor Sleman,"Mlati, Sleman",3,3,1,121 m²,80 m²
